chain_root	chain_shortest	chain_longest	chain_length	language	lang_name	mode_word	word_ipa_len	stability	mode_count	total_extensions	gloss	all_words_json
nu-i-na	nu-i-na	nu-i-na-i-da-ja	6	xpg	Phrygian	breit	5	1.0000	6	6	cut	"[""breit"", ""breit"", ""breit"", ""breit"", ""breit"", ""breit""]"
si-i-pi	si-i-pi	si-i-pi-na-ma-i	6	xpg	Phrygian	deoːs	5	1.0000	6	6		"[""deo\u02d0s"", ""deo\u02d0s"", ""deo\u02d0s"", ""deo\u02d0s"", ""deo\u02d0s"", ""deo\u02d0s""]"
ja-tu-ru	ja-tu-ru	ja-tu-ru-sa-i-d	5	xpg	Phrygian	anar	4	1.0000	5	5	husband	"[""anar"", ""anar"", ""anar"", ""anar"", ""anar""]"
ti-nu-ja	ti-nu-ja	ti-nu-ja-sa-sa	5	xpg	Phrygian	aoːroː	6	1.0000	5	5		"[""ao\u02d0ro\u02d0"", ""ao\u02d0ro\u02d0"", ""ao\u02d0ro\u02d0"", ""ao\u02d0ro\u02d0"", ""ao\u02d0ro\u02d0""]"
tu-ru-sa	tu-ru-sa	tu-ru-sa-i-da-a	5	xpg	Phrygian	anar	4	1.0000	5	5	husband	"[""anar"", ""anar"", ""anar"", ""anar"", ""anar""]"
a-si-i-pi	a-si-i-pi	a-si-i-pi-na-ma	5	xpg	Phrygian	deoːs	5	1.0000	5	5		"[""deo\u02d0s"", ""deo\u02d0s"", ""deo\u02d0s"", ""deo\u02d0s"", ""deo\u02d0s""]"
i-nu-i-na	i-nu-i-na	i-nu-i-na-i-da-j	5	xpg	Phrygian	breit	5	1.0000	5	5	cut	"[""breit"", ""breit"", ""breit"", ""breit"", ""breit""]"
na-ti-*301	na-ti-*301	na-ti-*301-wa-ja	5	xpg	Phrygian	baɡo	4	1.0000	5	5		"[""ba\u0261o"", ""ba\u0261o"", ""ba\u0261o"", ""ba\u0261o"", ""ba\u0261o""]"
na-i-*301-ti	na-i-*301-ti	na-i-*301-ti-ja-sa	5	xpg	Phrygian	baɡo	4	1.0000	5	5		"[""ba\u0261o"", ""ba\u0261o"", ""ba\u0261o"", ""ba\u0261o"", ""ba\u0261o""]"
wa-ja-ja	wa-ja-ja	wa-ja-ja-sa-sa	16	xpg	Phrygian	aoːroː	6	0.8750	14	16		"[""ao\u02d0ro\u02d0"", ""ao\u02d0ro\u02d0"", ""ao\u02d0ro\u02d0"", ""ao\u02d0ro\u02d0"", ""ao\u02d0ro\u02d0"", ""ao\u02d0ro\u02d0"", ""ao\u02d0ro\u02d0"", ""ao\u02d0ro\u02d0"", ""ao\u02d0ro\u02d0"", ""ao\u02d0ro\u02d0"", ""eti"", ""ao\u02d0ro\u02d0"", ""eti"", ""ao\u02d0ro\u02d0"", ""ao\u02d0ro\u02d0"", ""ao\u02d0ro\u02d0""]"
