# Source: eCUT — electronic Corpus of Urartian Texts (ORACC), Urartian glossary
# URL: https://oracc.museum.upenn.edu/ecut/
# License: CC0 1.0 (Public Domain)
# Downloaded: 2026-03-26T08:52:56Z
# Script: pillar5/scripts/extract_glosses.py
word	translation	source	source_url
hurulai	(meaning unknown)	eCUT/ORACC	https://oracc.museum.upenn.edu/ecut/
huš-	throw	eCUT/ORACC	https://oracc.museum.upenn.edu/ecut/
hušarini	horses?	eCUT/ORACC	https://oracc.museum.upenn.edu/ecut/
hut-	pray	eCUT/ORACC	https://oracc.museum.upenn.edu/ecut/
hutumayi	matter of dispute?	eCUT/ORACC	https://oracc.museum.upenn.edu/ecut/
huṭutuhi	bravery?	eCUT/ORACC	https://oracc.museum.upenn.edu/ecut/
ia	(meaning unknown)	eCUT/ORACC	https://oracc.museum.upenn.edu/ecut/
iarani	cult dais	eCUT/ORACC	https://oracc.museum.upenn.edu/ecut/
ibir-	(meaning unknown)	eCUT/ORACC	https://oracc.museum.upenn.edu/ecut/
ibriu	(a functionary)	eCUT/ORACC	https://oracc.museum.upenn.edu/ecut/
idani	(meaning unknown)	eCUT/ORACC	https://oracc.museum.upenn.edu/ecut/
ieše	I	eCUT/ORACC	https://oracc.museum.upenn.edu/ecut/
igie	cistern	eCUT/ORACC	https://oracc.museum.upenn.edu/ecut/
ikaṣiani	(meaning unknown)	eCUT/ORACC	https://oracc.museum.upenn.edu/ecut/
ikukahi	the same one	eCUT/ORACC	https://oracc.museum.upenn.edu/ecut/
ikukani	the same	eCUT/ORACC	https://oracc.museum.upenn.edu/ecut/
ime	foundation	eCUT/ORACC	https://oracc.museum.upenn.edu/ecut/
inahini	this same	eCUT/ORACC	https://oracc.museum.upenn.edu/ecut/
inaini	(probably a human need like food, water or rest)	eCUT/ORACC	https://oracc.museum.upenn.edu/ecut/
inani	this	eCUT/ORACC	https://oracc.museum.upenn.edu/ecut/
ini	this	eCUT/ORACC	https://oracc.museum.upenn.edu/ecut/
