chain_root	chain_shortest	chain_longest	chain_length	language	lang_name	stability	mode_word	mode_count	total_extensions	gloss	all_words_json
a-e-a-di	a-e-a-di	a-e-a-di-ki-te-t	6	cms	Messapic	0.8333	ai	5	6	conjunction (hypothetical)	"[""ai"", ""aran"", ""ai"", ""ai"", ""ai"", ""ai""]"
a-e-a-di	a-e-a-di	a-e-a-di-ki-te-t	6	xpg	Phrygian	0.8333	eti	5	6	and	"[""e-"", ""eti"", ""eti"", ""eti"", ""eti"", ""eti""]"
ja-sa-sa	ja-sa-sa	ja-sa-sa-ra-me	6	hit	Hittite	0.8333	xapa	5	6		"[""ap\u02d0a"", ""xapa"", ""xapa"", ""xapa"", ""xapa"", ""xapa""]"
ja-sa-sa	ja-sa-sa	ja-sa-sa-ra-me	6	xrr	Etruscan	0.8333	-u	5	6	tir raetica	"[""-\u00d8"", ""-u"", ""-u"", ""-u"", ""-u"", ""-u""]"
u-i-na-i	u-i-na-i	u-i-na-i-da-ja-s	6	dra-pro	Proto-Dravidian	0.8333	jaɳʈ-	5	6		"[""ja\u0273\u0288-"", ""ja\u0273\u0288-"", ""ja\u0273\u0288-"", ""ja\u0273\u0288-"", ""ja\u0273\u0288-"", ""po\u0288\u0288-""]"
u-i-na-i	u-i-na-i	u-i-na-i-da-ja-s	6	elx	Elamite	0.8333	ruku	5	6	testicle	"[""ruku"", ""ruku"", ""ruku"", ""ruku"", ""ruku"", ""tuu\u0283""]"
u-i-na-i	u-i-na-i	u-i-na-i-da-ja-s	6	uga	Ugaritic	0.8333	xulsˤu	5	6		"[""\u0263r"", ""xuls\u02e4u"", ""xuls\u02e4u"", ""xuls\u02e4u"", ""xuls\u02e4u"", ""xuls\u02e4u""]"
*301-ti-ja	*301-ti-ja	*301-ti-ja-sa-sa-r	6	cms	Messapic	0.8333	ai	5	6	conjunction (hypothetical)	"[""ai"", ""ai"", ""ai"", ""ai"", ""ai"", ""aran""]"
*301-ti-ja	*301-ti-ja	*301-ti-ja-sa-sa-r	6	sem-pro	Proto-Semitic	0.8333	U₃	5	6		"[""U\u2083"", ""U\u2083"", ""U\u2083"", ""U\u2083"", ""U\u2083"", ""ra\u0294\u0283""]"
*301-ti-ja	*301-ti-ja	*301-ti-ja-sa-sa-r	6	xur	Urartian	0.8333	eʃiate	5	6		"[""e\u0283iate"", ""e\u0283iate"", ""e\u0283iate"", ""e\u0283iate"", ""e\u0283iate"", ""URU.TUR""]"
u-*56-e-tu	u-*56-e-tu	u-*56-e-tu-me-i-ja	6	uga	Ugaritic	0.8333	ɡθr	5	6		"[""xns\u02e4"", ""\u0261\u03b8r"", ""\u0261\u03b8r"", ""\u0261\u03b8r"", ""\u0261\u03b8r"", ""\u0261\u03b8r""]"
u-*56-e-tu	u-*56-e-tu	u-*56-e-tu-me-i-ja	6	xcr	Eteocretan	0.8333	βάνðα	5	6		"[""*mn-"", ""\u03b2\u03ac\u03bd\u00f0\u03b1"", ""\u03b2\u03ac\u03bd\u00f0\u03b1"", ""\u03b2\u03ac\u03bd\u00f0\u03b1"", ""\u03b2\u03ac\u03bd\u00f0\u03b1"", ""\u03b2\u03ac\u03bd\u00f0\u03b1""]"
*301-wa-e-a	*301-wa-e-a	*301-wa-e-a-di-ki-t	6	uga	Ugaritic	0.8333	uqnu	5	6		"[""ib"", ""uqnu"", ""uqnu"", ""uqnu"", ""uqnu"", ""uqnu""]"
i-*301-u-ti	i-*301-u-ti	i-*301-u-ti-nu-ja-s	6	xur	Urartian	0.8333	teʃi	5	6		"[""teq-"", ""te\u0283i"", ""te\u0283i"", ""te\u0283i"", ""te\u0283i"", ""te\u0283i""]"
na-i-*301-u	na-i-*301-u	na-i-*301-u-ti-nu-j	6	phn	Phoenician	0.8333	alef	5	6		"[""lib"", ""alef"", ""alef"", ""alef"", ""alef"", ""alef""]"
